article,section,paragraph,sentence_idx,sentence_text,statement_idx,predicted_statement
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",1,Basque is a morphologically ergative language.
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",2,"In Basque, intransitive verbs show two different morphological alignments."
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",3,"In Basque, agentive verbs usually occur with an ergative subject. (Levin 1983)"
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",4,"In Basque, agentive verbs usually occur with the auxiliary edun ‘have’. (Levin 1983)"
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",5,"In Basque, patientive verbs combine with an absolutive subject. (Levin 1983)"
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",1,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983).",6,"In Basque, patientive verbs combine with the auxiliary izan ‘be’. (Levin 1983)"
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",2,"Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",1,There exists dialectal variation in Basque regarding the use of certain agentive verbs.
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",2,"Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",2,Certain agentive verbs in Basque convey non-static processes.
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",2,"Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",3,"In certain agentive verbs in Basque that convey non-static processes, the subject is interpreted as the force initiating the process."
glossa-5270-pineda,,"Basque is a morphologically ergative language in which intransitive verbs show two different morphological alignments: broadly speaking, agentive verbs usually occur with an ergative subject and the auxiliary edun ‘have’, whereas patientive verbs combine with an absolutive subject and the auxiliary izan ‘be’ (Levin 1983). Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it. We will henceforth refer to this group of verbs as agentive process verbs. In Eastern dialects,1 some agentive process verbs combine an absolutive subject with the auxiliary izan ‘be’ (Oyharçabal 1992; Aldai 2006; 2009; 2010; Berro 2010; 2012), thus resembling other ergative – non-active – languages like Warlpiri, Niuean and Samoan, where all intransitive verbs combine with an absolutive subject (Levin 1983; Massam 2009; Tollan 2018). Even if we do not believe that verb meaning by itself (in rough terms, agentive vs. patientive) is a totally reliable predictor of the syntactic behavior of verbs, it is important to pay attention to and account for those cases where semantic generalizations are clearly contravened, as occurs with the verbs under study. With the exception of Levin (1983), previous studies have assumed that the agentive process verbs that combine with an absolutive subject in Eastern dialects are unergative and have accounted independently for the absolutive marking. In fact, these verbs belong to semantic groups that are usually considered unergative (controlled and agentive processes), and include bazkaldu ‘have lunch’, solastatu ‘talk’, borrokatu ‘fight’ or jolastu ‘play’. Moreover, they behave syntactically like unergatives in their inability to undergo causativization (Oyharçabal 2003).",2,"Nevertheless, there exists some dialectal variation regarding the use of certain agentive verbs, specifically those that convey (non-static) processes, where the subject is interpreted as both the force initiating the process and the entity undergoing it.",4,"In certain agentive verbs in Basque that convey non-static processes, the subject is interpreted as the entity undergoing the process."
